 train         node      observed        predicted
     y             1    1.030383E-01    6.236085E-02
     y             1   -5.946697E-01    2.016503E-01
     y             1    2.815095E-01    2.953597E-01
     y             1    7.175639E-01    1.546415E-01
     y             1   -1.586109E-01    2.444702E-01
     y             1    1.334137E-01    9.622384E-02
     y             1    4.196573E-01    1.822376E-01
     y             1    5.686154E-01    2.239836E-01
     y             1    4.132859E-01    2.244356E-01
     y             1   -5.164039E-01    1.250465E-01
     y             1   -4.281073E-02    2.851435E-01
     y             1   -9.760693E-02    2.719203E-01
     y             1    2.369075E-01    1.084116E-01
     y             1    2.148367E-01    1.914743E-01
     n             1              NA    3.414362E-01
     y             1   -1.582618E-02    2.862546E-01
     y             1    2.285734E-01    1.236092E-01
     y             1    2.313015E-01    2.157790E-01
     y             1    1.004232E+00    1.505913E-01
     y             1    4.627905E-01    3.304572E-01
     y             1    2.851076E-01    2.536145E-01
     y             1   -1.656436E-01    2.407876E-01
     y             1    1.788895E-01    3.125023E-01
     y             1    2.429870E-01    1.396421E-01
     y             1    1.472539E-01    1.300043E-01
     y             1   -5.802159E-01    1.238725E-01
     y             1    4.567442E-01    2.642174E-01
     n             1              NA    2.190961E-01
     y             1    2.052391E-01    2.138137E-01
     y             1    6.846145E-01    2.247492E-01
     y             1    1.192189E+00    2.059550E-01
     y             1    5.434244E-01    2.231613E-01
     y             1    1.912885E-01    2.473159E-01
     y             1    1.780751E-01    2.407822E-01
     y             1    1.104781E+00    3.305262E-01
     y             1    7.066677E-01    2.039345E-01
     y             1   -2.639264E-01    4.654427E-02
     y             1    7.537896E-01    2.865616E-01
     y             1    2.906656E-01    1.774087E-01
     y             1   -4.462966E-01    2.104244E-01
     y             1    4.984901E-01    1.445900E-01
     y             1    4.001083E-01    1.966291E-01
     y             1    1.355188E-01    7.797419E-02
     y             1    3.634274E-01    2.510325E-01
     y             1   -8.118168E-02    1.157619E-01
     y             1    8.583206E-02    4.470512E-02
     y             1    1.115118E+00    9.874580E-02
     y             1    2.332857E-01    2.104117E-01
     y             1   -8.262182E-02    3.038428E-01
     y             1    6.694396E-01    2.405298E-01
     y             1    6.135353E-02    2.585108E-01
     y             1    4.935560E-01    1.758066E-01
     y             1    6.614961E-01    2.114421E-01
     y             1    4.791823E-01    1.027813E-01
     y             1    2.572108E-02    2.597554E-01
     y             1    1.626476E-01    1.780219E-01
     y             1    4.688215E-01    1.143937E-01
     y             1   -5.897577E-02    2.059067E-01
     y             1    6.961476E-01    1.682169E-01
     y             1    3.663521E-01    2.220384E-01
     y             1    8.457807E-01    1.564767E-01
     y             1    4.176909E-01    1.242595E-01
     y             1    8.231690E-01    2.129374E-01
     y             1    5.746975E-02    3.198998E-02
     y             1   -1.544413E-01    1.750739E-01
     y             1   -3.254263E-01    9.354328E-02
     y             1    1.609609E-01    1.933988E-01
     y             1    1.469251E-02    2.698875E-01
     y             1   -2.103752E-01    2.789016E-01
     y             1    7.890766E-01    2.146387E-01
     y             1    2.141374E-01    1.567760E-01
     y             1   -3.322773E-02    1.228928E-01
     y             1   -5.740916E-02    1.991899E-01
     y             1    7.495811E-01    3.077852E-03
     y             1   -1.643755E-02    2.520302E-01
     y             1   -4.244687E-01    1.242279E-01
     y             1   -6.379182E-01    1.623849E-01
     y             1    1.373724E-01    2.779464E-01
     y             1   -2.361891E-01    5.129898E-02
     y             1    2.689762E-01    1.012048E-01
     y             1   -9.744919E-01    2.208325E-01
     n             1              NA    2.160621E-01
     y             1    5.345749E-01    1.776479E-01
     y             1   -3.315777E-01    1.474032E-01
     y             1   -6.137282E-02    1.327926E-01
     y             1    6.691220E-01    2.438230E-01
     y             1    2.348235E-01    2.604831E-01
     y             1    1.828044E-01    1.914593E-01
