 train         node      observed        predicted
     y             1    1.030383E-01    1.778280E-01
     y             1   -5.946697E-01    1.778280E-01
     y             1    2.815095E-01    1.778280E-01
     y             1    7.175639E-01    1.778280E-01
     y             1   -1.586109E-01    1.778280E-01
     y             1    1.334137E-01    1.778280E-01
     y             1    4.196573E-01    1.778280E-01
     y             1    5.686154E-01    1.778280E-01
     y             1    4.132859E-01    1.778280E-01
     y             1   -5.164039E-01    1.778280E-01
     y             1   -4.281073E-02    1.778280E-01
     y             1   -9.760693E-02    1.778280E-01
     y             1    2.369075E-01    1.778280E-01
     y             1    2.148367E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1   -1.582618E-02    1.778280E-01
     y             1    2.285734E-01    1.778280E-01
     y             1    2.313015E-01    1.778280E-01
     y             1    1.004232E+00    1.778280E-01
     y             1    4.627905E-01    1.778280E-01
     y             1    2.851076E-01    1.778280E-01
     y             1   -1.656436E-01    1.778280E-01
     y             1    1.788895E-01    1.778280E-01
     y             1    2.429870E-01    1.778280E-01
     y             1    1.472539E-01    1.778280E-01
     y             1   -5.802159E-01    1.778280E-01
     y             1    4.567442E-01    1.778280E-01
     n             1              NA    1.778280E-01
     y             1    2.052391E-01    1.778280E-01
     y             1    6.846145E-01    1.778280E-01
     y             1    1.192189E+00    1.778280E-01
     y             1    5.434244E-01    1.778280E-01
     y             1    1.912885E-01    1.778280E-01
     y             1    1.780751E-01    1.778280E-01
     y             1    1.104781E+00    1.778280E-01
     y             1    7.066677E-01    1.778280E-01
     y             1   -2.639264E-01    1.778280E-01
     y             1    7.537896E-01    1.778280E-01
     y             1    2.906656E-01    1.778280E-01
     y             1   -4.462966E-01    1.778280E-01
     y             1    4.984901E-01    1.778280E-01
     y             1    4.001083E-01    1.778280E-01
     y             1    1.355188E-01    1.778280E-01
     y             1    3.634274E-01    1.778280E-01
     y             1   -8.118168E-02    1.778280E-01
     y             1    8.583206E-02    1.778280E-01
     y             1    1.115118E+00    1.778280E-01
     y             1    2.332857E-01    1.778280E-01
     y             1   -8.262182E-02    1.778280E-01
     y             1    6.694396E-01    1.778280E-01
     y             1    6.135353E-02    1.778280E-01
     y             1    4.935560E-01    1.778280E-01
     y             1    6.614961E-01    1.778280E-01
     y             1    4.791823E-01    1.778280E-01
     y             1    2.572108E-02    1.778280E-01
     y             1    1.626476E-01    1.778280E-01
     y             1    4.688215E-01    1.778280E-01
     y             1   -5.897577E-02    1.778280E-01
     y             1    6.961476E-01    1.778280E-01
     y             1    3.663521E-01    1.778280E-01
     y             1    8.457807E-01    1.778280E-01
     y             1    4.176909E-01    1.778280E-01
     y             1    8.231690E-01    1.778280E-01
     y             1    5.746975E-02    1.778280E-01
     y             1   -1.544413E-01    1.778280E-01
     y             1   -3.254263E-01    1.778280E-01
     y             1    1.609609E-01    1.778280E-01
     y             1    1.469251E-02    1.778280E-01
     y             1   -2.103752E-01    1.778280E-01
     y             1    7.890766E-01    1.778280E-01
     y             1    2.141374E-01    1.778280E-01
     y             1   -3.322773E-02    1.778280E-01
     y             1   -5.740916E-02    1.778280E-01
     y             1    7.495811E-01    1.778280E-01
     y             1   -1.643755E-02    1.778280E-01
     y             1   -4.244687E-01    1.778280E-01
     y             1   -6.379182E-01    1.778280E-01
     y             1    1.373724E-01    1.778280E-01
     y             1   -2.361891E-01    1.778280E-01
